2025-06-12T00:23:28: 2025-06-12 00:23:28,927 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T00:23:29: 2025-06-12 00:23:29,894 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T00:23:29: 2025-06-12 00:23:29,979 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T00:23:30: 2025-06-12 00:23:30,762 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T00:23:30: 2025-06-12 00:23:30,939 | plugins.fi_shortinterest.parser | INFO | Parsed 154 position records
2025-06-12T00:23:30: 2025-06-12 00:23:30,940 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T00:23:31: 2025-06-12 00:23:31,239 | plugins.fi_shortinterest.parser | INFO | Parsed 311 aggregate records
2025-06-12T00:23:31: 2025-06-12 00:23:31,917 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_pos
2025-06-12T00:23:31: 2025-06-12 00:23:31,918 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:33:27 CEST)" executed successfully
2025-06-12T00:23:33: 2025-06-12 00:23:33,200 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_agg
2025-06-12T00:23:33: 2025-06-12 00:23:33,201 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:33:27 CEST)" executed successfully
2025-06-12T00:33:27: 2025-06-12 00:33:27,700 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:43:27 CEST)" (scheduled at 2025-06-12 00:33:27.640976+02:00)
2025-06-12T00:33:27: 2025-06-12 00:33:27,700 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_agg
2025-06-12T00:33:27: 2025-06-12 00:33:27,716 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:43:27 CEST)" (scheduled at 2025-06-12 00:33:27.679061+02:00)
2025-06-12T00:33:27: 2025-06-12 00:33:27,717 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_pos
2025-06-12T00:33:28: 2025-06-12 00:33:28,993 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T00:33:29: 2025-06-12 00:33:29,047 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T00:33:30: 2025-06-12 00:33:30,019 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T00:33:30: 2025-06-12 00:33:30,277 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T00:33:31: 2025-06-12 00:33:31,244 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T00:33:31: 2025-06-12 00:33:31,613 | plugins.fi_shortinterest.parser | INFO | Parsed 311 aggregate records
2025-06-12T00:33:31: 2025-06-12 00:33:31,613 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T00:33:31: 2025-06-12 00:33:31,695 | plugins.fi_shortinterest.parser | INFO | Parsed 154 position records
