set_name,date,volume_sold
SV: Obsidian Flames,2025-01-06,13553.90
SV: Obsidian Flames,2025-01-06,3209.54
SV: Obsidian Flames,2025-01-13,9330.16
SV: Obsidian Flames,2025-01-13,1535.04
SV: Obsidian Flames,2025-01-20,10831.40
SV: Obsidian Flames,2025-01-20,1270.92
SV: Obsidian Flames,2025-01-27,14953.68
SV: Obsidian Flames,2025-01-27,1612.80
SV: Obsidian Flames,2025-02-03,10675.48
SV: Obsidian Flames,2025-02-03,1607.18
SV: Obsidian Flames,2025-02-10,9989.97
SV: Obsidian Flames,2025-02-10,2210.64
SV: Obsidian Flames,2025-02-17,13037.64
SV: Obsidian Flames,2025-02-17,2816.64
SV: Obsidian Flames,2025-02-24,15593.31
SV: Obsidian Flames,2025-02-24,3038.80
SV: Obsidian Flames,2025-03-03,23653.00
SV: Obsidian Flames,2025-03-03,3300.00
SV: Obsidian Flames,2025-03-10,15668.86
SV: Obsidian Flames,2025-03-10,1892.78
SV: Obsidian Flames,2025-03-17,11270.56
SV: Obsidian Flames,2025-03-17,2382.10
SV: Obsidian Flames,2025-03-24,10827.30
SV: Obsidian Flames,2025-03-24,1636.60
SV: Obsidian Flames,2025-03-31,6011.04
SV: Obsidian Flames,2025-03-31,1338.00
SV: Obsidian Flames,2025-04-07,7901.72
SV: Obsidian Flames,2025-04-07,1105.17
SV: Obsidian Flames,2025-04-14,9090.20
SV: Obsidian Flames,2025-04-14,1103.76
SV: Obsidian Flames,2025-04-21,11348.89
SV: Obsidian Flames,2025-04-21,1186.98
SV: Obsidian Flames,2025-04-28,5922.56
SV: Obsidian Flames,2025-04-28,1092.60
SV: Obsidian Flames,2025-05-05,8372.92
SV: Obsidian Flames,2025-05-05,1134.60
SV: Obsidian Flames,2025-05-12,18534.04
SV: Obsidian Flames,2025-05-12,2509.14
SV: Obsidian Flames,2025-05-19,4389.66
SV: Obsidian Flames,2025-05-19,876.00
SV: Obsidian Flames,2025-05-26,5405.23
SV: Obsidian Flames,2025-05-26,1274.12
SV: Obsidian Flames,2025-06-02,6.00
SV: Paldea Evolved,2024-06-10,3341.00
SV: Paldea Evolved,2024-06-10,379.32
SV: Paldea Evolved,2024-06-17,6418.00
SV: Paldea Evolved,2024-06-17,430.99
SV: Paldea Evolved,2024-06-24,8353.15
SV: Paldea Evolved,2024-06-24,740.02
SV: Paldea Evolved,2024-07-01,7295.43
SV: Paldea Evolved,2024-07-01,287.97
SV: Paldea Evolved,2024-07-08,3602.76
SV: Paldea Evolved,2024-07-08,396.72
SV: Paldea Evolved,2024-07-15,5942.25
SV: Paldea Evolved,2024-07-15,506.43
